Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1433,3,0.49,0.225,0.18,0.2,22143.1333,1724.237863,4451.968231,
1434,1.92,0.1,0.225,0.5,0.2,24851.86224,1149.180241,463.0824668,
1435,0.3,0.62,0.35,0.26,0.4,17157.21981,2523.443871,7002.644712,
1436,1.92,0.75,0.6,0.18,0.4,21024.5895,2670.719931,8771.522899,
1437,3,0.36,0.475,0.34,0.2,25573.44213,1614.309049,2993.230601,
1438,1.38,0.23,0.6,0.5,0.6,24811.62002,1662.764522,1882.258407,
1439,2.46,0.36,0.225,0.26,0.8,21987.9595,1845.313773,4190.66943,
1440,0.84,0.23,0.35,0.5,0.6,22211.76245,1607.214505,1882.871544,
1441,3,0.1,0.225,0.5,0.4,26805.39506,1174.160573,532.716705,
1442,3,0.36,0.35,0.42,0.2,25530.76617,1600.006105,2993.230601,
1443,0.84,0.23,0.1,0.42,0.4,20133.50196,1401.668831,1673.021498,
1444,1.38,0.62,0.1,0.18,0.2,17649.30421,2079.127458,6219.249295,
1445,3,0.1,0.225,0.26,0.4,24872.09697,1087.827453,532.716705,
1446,0.84,0.49,0.35,0.1,0.8,17155.59665,2401.390661,6453.784358,
1447,0.84,0.75,0.35,0.26,0.8,17549.93129,3071.892956,10709.6115,
1448,1.92,0.62,0.475,0.18,0.6,20608.54189,2523.938717,7776.619042,
1449,1.92,0.75,0.1,0.34,0.4,19449.19954,2537.437356,8771.522899,
1450,2.46,0.49,0.1,0.18,0.6,19903.91992,2027.186145,5607.957088,
1451,1.92,0.75,0.475,0.18,0.8,19866.68143,2981.808856,10702.50708,
1452,0.3,0.75,0.1,0.5,0.8,16648.59769,3078.286753,10712.72117,
1453,0.3,0.75,0.6,0.5,0.2,20397.39019,2680.351568,7808.584331,
1454,3,0.23,0.35,0.1,0.2,23427.57834,1267.296372,1572.503701,
1455,2.46,0.36,0.6,0.34,0.2,25282.6427,1671.163283,2993.942804,
1456,3,0.23,0.35,0.26,0.6,24584.01621,1466.204464,2007.567767,
1457,3,0.49,0.1,0.34,0.4,22507.66663,1875.209593,5028.472727,
1458,2.46,0.1,0.6,0.34,0.6,26578.79343,1272.476254,602.2264778,
1459,0.3,0.23,0.225,0.26,0.8,17887.2142,1618.405718,2093.37697,
