Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
2753,2.3,0.38,0.32,0.1,0.6,147542.0575,121620.8389
2754,2.3,0.38,1.2,0.74,0.4,243851.0401,134959.0597
2755,1.3,0.24,0.32,0.74,0.6,212271.7513,122626.6677
2756,1.8,0.8,0.1,0.74,0.4,181442.8673,163556.818
2757,0.3,0.8,0.32,1.7,0.8,210628.9551,221906.4464
2758,0.3,0.8,0.32,1.38,0.2,214429.244,160647.5966
2759,0.8,0.24,0.54,0.42,0.8,165460.1908,120955.381
2760,1.8,0.8,0.98,1.06,0.2,239576.4546,157799.0779
2761,1.3,0.52,0.98,0.74,0.4,206409.4777,145118.1479
2762,0.8,0.66,0.1,0.74,0.4,165852.4464,152189.2752
2763,1.3,0.1,0.32,0.42,0.8,193181.1256,98806.53997
2764,1.3,0.38,0.32,1.06,0.8,223239.6847,154107.8948
2765,0.8,0.8,0.32,0.74,0.4,162055.0098,165650.5614
2766,2.3,0.8,0.1,1.38,0.6,238584.81,194469.9888
2767,2.8,0.1,0.32,1.7,0.4,342050.0558,128913.8718
2768,1.3,0.8,0.76,1.7,0.8,245474.9972,221978.6904
2769,2.8,0.8,0.76,1.06,0.4,245754.8883,174267.6383
2770,2.3,0.52,0.54,0.42,0.2,196240.364,122682.915
2771,2.3,0.8,1.2,1.7,0.8,274903.0191,222604.3961
2772,1.3,0.52,0.98,1.06,0.4,236073.9295,152596.0532
2773,2.8,0.38,0.54,1.38,0.2,304670.1872,138599.8744
2774,1.8,0.1,1.2,0.1,0.4,186484.2239,90579.18473
2775,2.8,0.24,1.2,0.1,0.8,185787.1682,115524.2533
2776,2.8,0.38,0.54,0.1,0.6,162540.0882,123076.6702
2777,2.3,0.1,0.54,0.74,0.6,257207.7182,108122.2847
2778,1.3,0.52,1.2,0.74,0.4,209982.4582,146217.3141
2779,2.3,0.66,1.2,0.74,0.4,222825.0925,158007.9157
2780,2.3,0.24,0.1,0.74,0.4,235235.6471,116610.9088
2781,1.3,0.38,0.98,1.06,0.6,240832.5886,149629.899
2782,2.3,0.66,1.2,0.1,0.2,160040.5699,126250.57
2783,2.8,0.8,0.32,1.7,0.2,297412.4322,167784.9199
2784,2.8,0.38,0.98,0.42,0.4,216952.3387,125696.0097
2785,1.3,0.38,0.54,1.7,0.2,295016.026,143254.468
2786,1.8,0.1,0.32,0.42,0.8,205999.8352,98879.67255
2787,2.3,0.8,0.54,1.38,0.6,248011.8755,197040.1591
2788,2.3,0.52,0.98,1.38,0.6,277010.7886,171688.2677
2789,1.3,0.38,0.76,1.7,0.8,281523.5115,169888.476
2790,0.8,0.1,0.98,0.1,0.6,154093.7153,91039.78546
2791,0.8,0.24,0.98,1.06,0.6,241163.2941,134232.8864
2792,0.8,0.66,0.98,1.38,0.8,223916.6286,201166.4021
2793,1.8,0.1,0.54,0.74,0.8,244142.5018,109354.8211
2794,0.8,0.8,0.98,1.7,0.2,264317.4371,170535.5285
2795,1.8,0.52,0.76,0.74,0.4,214464.7362,144128.3228
2796,0.8,0.1,0.54,1.38,0.4,276803.9253,120724.8594
2797,2.3,0.8,0.76,1.7,0.8,267650.7465,220540.1764
2798,1.8,0.8,0.98,1.7,0.2,288767.5631,170871.8224
2799,0.8,0.24,0.76,0.74,0.2,216997.7535,113110.8217
2800,2.3,0.1,0.76,1.7,0.6,338439.1657,132387.129
2801,1.3,0.66,0.54,1.38,0.6,235808.5502,183591.1596
2802,2.8,0.24,0.1,0.74,0.8,237837.3171,127223.6441
2803,1.8,0.52,0.54,1.38,0.4,266138.0676,157411.2264
2804,2.3,0.52,0.1,0.74,0.4,211837.4385,140296.7023
2805,2.8,0.38,0.98,0.74,0.8,239307.7168,150698.0466
2806,1.3,0.8,1.2,1.7,0.6,260683.0819,206831.2699
2807,1.3,0.8,0.54,1.06,0.2,219763.7472,155289.2504
2808,1.8,0.24,0.54,0.74,0.2,238199.9857,113221.5911
2809,2.8,0.38,0.54,1.38,0.6,291383.506,155424.7436
2810,0.8,0.24,0.98,0.1,0.2,147500.2928,96177.76592
2811,2.8,0.52,0.76,1.38,0.4,291199.2632,159222.1824
2812,0.8,0.8,1.2,0.1,0.2,116956.1966,136202.813
2813,1.3,0.66,0.1,1.7,0.6,249834.7378,186932.3132
2814,1.3,0.38,0.32,1.06,0.8,223239.6847,154107.8948
2815,1.3,0.24,0.54,0.42,0.2,192476.3716,103488.3468
2816,0.3,0.8,0.76,0.42,0.2,133872.9536,142145.359
2817,2.3,0.38,0.54,0.42,0.2,205682.7909,113843.7452
2818,2.8,0.24,0.54,1.06,0.6,279364.9406,133466.2445
2819,2.3,0.24,1.2,0.42,0.8,214335.4805,124744.7343
2820,1.8,0.38,1.2,0.42,0.6,192295.6006,135464.1258
2821,0.3,0.66,0.98,1.7,0.8,233375.3753,207827.201
2822,2.8,0.52,0.32,0.74,0.4,227077.5008,141966.8939
2823,0.8,0.52,0.32,1.06,0.2,218812.312,136410.5098
2824,0.8,0.24,0.98,1.7,0.2,299174.1836,136732.4852
2825,1.8,0.8,0.32,1.7,0.4,265837.2813,184454.4953
2826,2.3,0.24,0.76,1.06,0.2,282655.7207,123399.5868
2827,0.8,0.52,1.2,0.74,0.4,196959.0491,146250.0395
2828,2.3,0.66,0.32,0.1,0.2,143481.5547,121310.3014
2829,1.3,0.24,0.54,0.1,0.6,143175.3724,106101.1418
2830,1.8,0.8,0.98,0.42,0.6,156346.0096,179975.8393
2831,1.3,0.1,0.98,1.7,0.8,317359.9265,134481.9615
2832,0.8,0.1,0.32,0.1,0.4,143356.3114,84643.39302
2833,0.8,0.24,0.32,1.38,0.8,251169.7124,143006.0889
2834,0.8,0.24,0.54,0.1,0.8,125806.7242,112017.4338
2835,0.8,0.66,0.32,0.74,0.4,170920.1727,153565.9827
2836,1.3,0.52,0.1,1.06,0.4,218608.0802,147448.2893
2837,0.3,0.52,1.2,1.38,0.4,238614.4984,160487.9684
2838,2.8,0.52,0.54,0.74,0.8,217590.1632,166066.2411
2839,2.3,0.8,0.98,0.42,0.8,159641.1461,197224.7831
2840,0.3,0.52,0.1,0.1,0.2,95809.01802,110864.2867
2841,0.8,0.66,1.2,1.06,0.6,208496.7747,181022.0766
2842,2.3,0.1,0.76,0.42,0.8,226521.078,101697.4912
2843,0.8,0.38,0.76,0.74,0.6,194183.0253,140905.8467
2844,2.3,0.8,0.32,0.42,0.4,163476.8473,157216.8026
2845,0.8,0.66,0.1,1.06,0.6,187240.8787,175016.9643
2846,2.8,0.8,0.1,0.1,0.6,120075.2594,166526.3654
2847,2.3,0.1,0.32,0.1,0.6,180148.1751,87512.09636
2848,2.8,0.8,0.54,1.7,0.6,281179.4225,202635.9539
2849,1.8,0.38,0.1,0.1,0.4,137974.5636,110628.2709
2850,2.3,0.66,0.1,1.7,0.6,272161.3171,186594.1721
2851,2.8,0.24,1.2,1.38,0.8,313633.0413,148823.5839
2852,1.3,0.1,1.2,1.38,0.2,303256.0244,122731.6489
2853,2.3,0.66,1.2,0.42,0.2,199106.0044,135025.4633
2854,0.3,0.24,1.2,0.74,0.8,196291.7891,133373.3881
2855,0.3,0.1,0.32,1.7,0.4,280762.1197,125781.7185
2856,1.8,0.24,0.54,1.06,0.8,254782.2795,137511.1793
2857,2.8,0.1,1.2,0.42,0.4,247732.8596,101681.4351
2858,0.3,0.38,0.32,0.74,0.6,170913.4124,138461.365
2859,1.8,0.66,0.1,1.06,0.4,220501.5698,159119.1461
2860,2.3,0.1,0.76,1.38,0.8,314528.3503,126747.5706
2861,2.8,0.66,0.98,1.7,0.2,317646.1124,163566.7737
2862,1.8,0.38,0.54,1.38,0.8,265621.0179,162748.4502
2863,0.8,0.1,1.2,0.42,0.6,197238.7525,101859.4415
2864,0.3,0.24,0.54,1.7,0.4,272560.3994,139552.4913
2865,1.3,0.8,0.32,1.06,0.8,187425.1401,208413.8635
2866,2.3,0.24,0.98,1.7,0.2,334655.3945,138989.9739
2867,2.8,0.52,0.54,1.7,0.2,318473.0294,153330.3762
2868,2.8,0.8,0.98,1.38,0.8,258120.6832,215576.1324
2869,0.8,0.52,0.32,1.06,0.8,196515.7467,173412.2607
2870,0.3,0.52,0.76,0.42,0.4,141339.7624,136459.6969
2871,1.3,0.52,0.98,0.74,0.6,198705.1488,157614.8849
2872,0.8,0.24,0.54,0.74,0.2,212841.909,111802.9519
2873,0.8,0.1,0.32,1.7,0.4,295384.5022,126333.0461
2874,0.3,0.66,0.32,0.1,0.2,93380.62749,122211.579
2875,1.8,0.1,0.98,1.06,0.4,284416.9817,116825.5114
2876,0.8,0.38,0.76,1.38,0.8,245005.2364,163893.5797
2877,1.3,0.66,0.32,0.1,0.6,102983.9136,154229.8344
2878,0.3,0.66,1.2,0.1,0.8,89300.2124,177798.3882
2879,0.3,0.24,0.54,0.74,0.6,188713.5616,123760.3411
2880,2.3,0.52,0.32,1.38,0.8,258804.7432,178720.439
2881,0.3,0.24,1.2,0.1,0.4,131326.9769,103699.3185
2882,1.8,0.1,0.1,1.7,0.6,314279.6267,127864.5671
2883,1.8,0.52,0.54,1.06,0.6,232095.8332,162521.1753
2884,1.3,0.8,0.1,1.38,0.6,216394.6681,195293.979
2885,1.3,0.24,0.76,0.1,0.6,147468.3257,107411.3279
2886,1.8,0.1,0.98,0.1,0.2,185063.4218,87198.25531
2887,2.8,0.52,0.1,1.7,0.8,287494.7685,183415.6587
2888,1.8,0.1,0.98,0.1,0.4,182899.3038,89403.18718
2889,0.3,0.52,0.98,1.38,0.4,235082.6911,159406.8893
2890,1.3,0.66,0.32,0.1,0.4,110934.9097,137655.0321
2891,2.8,0.24,1.2,0.74,0.6,261428.6806,128996.2533
2892,0.8,0.1,0.32,0.1,0.4,143356.3114,84643.39302
2893,1.8,0.38,0.76,1.7,0.2,310494.9193,145413.9829
2894,2.3,0.8,0.32,1.06,0.8,209594.2906,206729.0291
2895,1.3,0.1,0.32,1.7,0.8,305307.4219,130661.0929
2896,0.3,0.38,0.76,1.7,0.4,265402.6452,152608.8193
2897,2.3,0.1,0.98,0.1,0.2,196785.0597,87803.23571
2898,1.3,0.1,0.98,0.1,0.2,172415.5049,86599.50957
2899,2.3,0.52,0.98,0.74,0.2,237976.0046,133620.6124
2900,0.3,0.66,0.32,0.42,0.8,109183.0539,179962.2442
2901,0.3,0.24,1.2,0.74,0.4,204892.1828,121156.9422
2902,2.8,0.66,0.1,1.06,0.6,232451.8001,173950.4858
2903,1.3,0.1,0.32,1.38,0.6,283991.2565,121865.2989
2904,1.3,0.1,0.76,0.74,0.8,235646.2258,110527.1909
2905,1.3,0.24,0.1,1.38,0.4,267728.6883,130857.3243
2906,1.8,0.8,1.2,0.1,0.6,122126.8333,173769.7746
2907,1.3,0.8,0.54,1.38,0.2,245942.7315,162053.8649
2908,2.3,0.24,0.76,0.74,0.2,253552.6755,115178.6037
2909,2.3,0.52,1.2,0.74,0.8,218911.1052,169683.1695
2910,1.3,0.38,0.54,0.74,0.6,203082.1262,139581.7829
2911,1.8,0.24,0.98,1.38,0.2,300954.6927,131415.7336
2912,1.8,0.24,0.1,1.38,0.8,271569.3219,141998.9083
2913,0.3,0.66,0.32,0.74,0.4,156799.8091,153961.9415
2914,1.3,0.8,0.98,0.1,0.6,107594.6995,173672.1211
2915,0.3,0.66,0.32,0.42,0.4,123169.2918,146670.4968
2916,2.8,0.8,0.1,1.38,0.8,240815.0435,210853.6321
2917,2.3,0.24,0.32,0.74,0.2,245007.9279,112489.985
2918,0.3,0.24,0.98,0.1,0.8,119175.031,115361.0212
2919,2.8,0.52,0.1,1.38,0.4,277882.5277,155269.58
